alphabet	dataset	index	errors	plength	pcount	algorithm	occurrences	time	preprocessing
dna	celegans	qgram	0	15	10000000	dfs	126862148	4.229444	8.318762
dna	celegans	qgram	1	30	10000	single	55086	0.321344	0.000000
dna	celegans	qgram	1	30	10000	sort	55086	0.278656	0.000662
dna	celegans	qgram	1	30	10000	dfs	55086	0.264494	0.001430
dna	celegans	qgram	1	30	10000	bfs	55086	0.475442	0.000473
dna	celegans	qgram	1	30	100000	single	533908	3.117969	0.000000
dna	celegans	qgram	1	30	100000	sort	533908	2.522388	0.008393
dna	celegans	qgram	1	30	100000	dfs	533908	2.190652	0.017433
dna	celegans	qgram	1	30	100000	bfs	533908	1.694835	0.002691
dna	celegans	qgram	1	30	1000000	single	5367014	30.935444	0.000000
dna	celegans	qgram	1	30	1000000	sort	5367014	22.176702	0.119019
dna	celegans	qgram	1	30	1000000	dfs	5367014	17.064537	0.472136
dna	celegans	qgram	1	30	1000000	bfs	5367014	10.437999	0.039146
dna	celegans	qgram	1	30	10000000	single	53042363	310.951600	0.000000
dna	celegans	qgram	1	30	10000000	sort	53042363	191.530286	2.285479
dna	celegans	qgram	1	30	10000000	dfs	53042363	122.917912	9.429339
dna	celegans	qgram	1	30	10000000	bfs	53042363	91.796466	0.374637
dna	celegans	fm-tl	0	15	10000	single	129560	0.007653	0.000000
dna	celegans	fm-tl	0	15	10000	sort	129560	0.007133	0.000680
dna	celegans	fm-tl	0	15	10000	dfs	129560	0.007018	0.001435
dna	celegans	fm-tl	0	15	100000	single	1269061	0.070867	0.000000
dna	celegans	fm-tl	0	15	100000	sort	1269061	0.064293	0.008544
dna	celegans	fm-tl	0	15	100000	dfs	1269061	0.060364	0.017451
dna	celegans	fm-tl	0	15	1000000	single	12723782	0.702660	0.000000
dna	celegans	fm-tl	0	15	1000000	sort	12723782	0.604760	0.129665
dna	celegans	fm-tl	0	15	1000000	dfs	12723782	0.520731	0.407876
dna	celegans	fm-tl	0	15	10000000	single	126862148	7.071771	0.000000
dna	celegans	fm-tl	0	15	10000000	sort	126862148	4.971434	2.269273
dna	celegans	fm-tl	0	15	10000000	dfs	126862148	3.841789	8.342792
dna	celegans	fm-tl	1	30	10000	single	55086	0.227377	0.000000
dna	celegans	fm-tl	1	30	10000	sort	55086	0.208534	0.000661
dna	celegans	fm-tl	1	30	10000	dfs	55086	0.244326	0.001453
dna	celegans	fm-tl	1	30	10000	bfs	55086	0.359530	0.000677
dna	celegans	fm-tl	1	30	100000	single	533908	2.269804	0.000000
dna	celegans	fm-tl	1	30	100000	sort	533908	1.817207	0.008430
dna	celegans	fm-tl	1	30	100000	dfs	533908	2.168232	0.017886
dna	celegans	fm-tl	1	30	100000	bfs	533908	1.836428	0.002742
dna	celegans	fm-tl	1	30	1000000	single	5367014	22.684130	0.000000
dna	celegans	fm-tl	1	30	1000000	sort	5367014	14.987268	0.126811
dna	celegans	fm-tl	1	30	1000000	dfs	5367014	18.157826	0.500324
dna	celegans	fm-tl	1	30	1000000	bfs	5367014	13.904499	0.038829
dna	celegans	fm-tl	1	30	10000000	single	53042363	224.516300	0.000000
dna	celegans	fm-tl	1	30	10000000	sort	53042363	120.271468	2.286285
dna	celegans	fm-tl	1	30	10000000	dfs	53042363	137.098458	9.492475
dna	celegans	fm-tl	1	30	10000000	bfs	53042363	118.434241	0.413517
dna	celegans	fm-wt	0	15	10000	single	129560	0.014339	0.000000
dna	celegans	fm-wt	0	15	10000	sort	129560	0.013221	0.000665
dna	celegans	fm-wt	0	15	10000	dfs	129560	0.012739	0.001447
dna	celegans	fm-wt	0	15	100000	single	1269061	0.123029	0.000000
dna	celegans	fm-wt	0	15	100000	sort	1269061	0.105244	0.008613
dna	celegans	fm-wt	0	15	100000	dfs	1269061	0.098018	0.017755
dna	celegans	fm-wt	0	15	1000000	single	12723782	1.179870	0.000000
dna	celegans	fm-wt	0	15	1000000	sort	12723782	0.894624	0.126084
dna	celegans	fm-wt	0	15	1000000	dfs	12723782	0.769672	0.427172
dna	celegans	fm-wt	0	15	10000000	single	126862148	11.522495	0.000000
dna	celegans	fm-wt	0	15	10000000	sort	126862148	7.037091	2.259910
dna	celegans	fm-wt	0	15	10000000	dfs	126862148	5.180814	8.323487
dna	celegans	fm-wt	1	30	10000	single	55086	0.365108	0.000000
dna	celegans	fm-wt	1	30	10000	sort	55086	0.335189	0.000657
dna	celegans	fm-wt	1	30	10000	dfs	55086	0.386512	0.001441
dna	celegans	fm-wt	1	30	10000	bfs	55086	0.520155	0.000692
dna	celegans	fm-wt	1	30	100000	single	533908	3.579856	0.000000
dna	celegans	fm-wt	1	30	100000	sort	533908	2.922257	0.008567
dna	celegans	fm-wt	1	30	100000	dfs	533908	3.479838	0.018060
dna	celegans	fm-wt	1	30	100000	bfs	533908	2.926589	0.002944
dna	celegans	fm-wt	1	30	1000000	single	5367014	35.316649	0.000000
dna	celegans	fm-wt	1	30	1000000	sort	5367014	23.275810	0.129442
dna	celegans	fm-wt	1	30	1000000	dfs	5367014	28.011024	0.466006
dna	celegans	fm-wt	1	30	1000000	bfs	5367014	21.466670	0.039358
dna	celegans	fm-wt	1	30	10000000	single	53042363	357.255372	0.000000
dna	celegans	fm-wt	1	30	10000000	sort	53042363	177.861357	2.286240
dna	celegans	fm-wt	1	30	10000000	dfs	53042363	196.893940	9.425972
dna	celegans	fm-wt	1	30	10000000	bfs	53042363	165.864791	0.413673
protein	uniprot	sa	0	10	10000	single	24120	0.017999	0.000000
protein	uniprot	sa	0	10	10000	sort	24120	0.012906	0.000632
protein	uniprot	sa	0	10	10000	dfs	24120	0.018461	0.001040
protein	uniprot	sa	0	10	100000	single	377219	0.176385	0.000000
protein	uniprot	sa	0	10	100000	sort	377219	0.100649	0.008169
protein	uniprot	sa	0	10	100000	dfs	377219	0.131995	0.011682
protein	uniprot	sa	0	10	1000000	single	3650346	1.792643	0.000000
protein	uniprot	sa	0	10	1000000	sort	3650346	0.778820	0.114638
protein	uniprot	sa	0	10	1000000	dfs	3650346	0.885878	0.224230
protein	uniprot	sa	1	20	10000	single	23408	2.789860	0.000000
protein	uniprot	sa	1	20	10000	sort	23408	2.147196	0.000609
protein	uniprot	sa	1	20	10000	dfs	23408	0.976289	0.001086
protein	uniprot	sa	1	20	10000	bfs	23408	0.976706	0.000692
protein	uniprot	sa	1	20	100000	single	281093	28.428182	0.000000
protein	uniprot	sa	1	20	100000	sort	281093	20.103044	0.008021
protein	uniprot	sa	1	20	100000	dfs	281093	7.833271	0.012270
protein	uniprot	sa	1	20	100000	bfs	281093	4.753430	0.001983
protein	uniprot	sa	1	20	1000000	single	3125052	277.937035	0.000000
protein	uniprot	sa	1	20	1000000	sort	3125052	181.684009	0.113640
protein	uniprot	sa	1	20	1000000	dfs	3125052	44.986358	0.255980
protein	uniprot	sa	1	20	1000000	bfs	3125052	27.741719	0.019039
protein	uniprot	qgram	0	10	10000	single	24120	0.009019	0.000000
protein	uniprot	qgram	0	10	10000	sort	24120	0.009374	0.000614
protein	uniprot	qgram	0	10	10000	dfs	24120	0.007854	0.001010
protein	uniprot	qgram	0	10	100000	single	377219	0.090710	0.000000
protein	uniprot	qgram	0	10	100000	sort	377219	0.082722	0.008400
protein	uniprot	qgram	0	10	100000	dfs	377219	0.072736	0.011518
protein	uniprot	qgram	0	10	1000000	single	3650346	0.927938	0.000000
protein	uniprot	qgram	0	10	1000000	sort	3650346	0.732380	0.114948
protein	uniprot	qgram	0	10	1000000	dfs	3650346	0.624218	0.233541
protein	uniprot	qgram	1	20	10000	single	23408	0.650292	0.000000
protein	uniprot	qgram	1	20	10000	sort	23408	0.557498	0.000613
protein	uniprot	qgram	1	20	10000	dfs	23408	0.554633	0.001120
protein	uniprot	qgram	1	20	10000	bfs	23408	0.703095	0.000438
protein	uniprot	qgram	1	20	100000	single	281093	6.595724	0.000000
protein	uniprot	qgram	1	20	100000	sort	281093	5.381147	0.008134
protein	uniprot	qgram	1	20	100000	dfs	281093	5.356868	0.012157
protein	uniprot	qgram	1	20	100000	bfs	281093	3.937056	0.002050
protein	uniprot	qgram	1	20	1000000	single	3125052	65.470696	0.000000
protein	uniprot	qgram	1	20	1000000	sort	3125052	42.578487	0.113109
protein	uniprot	qgram	1	20	1000000	dfs	3125052	35.496508	0.277230
protein	uniprot	qgram	1	20	1000000	bfs	3125052	24.213764	0.031565
protein	uniprot	fm-wt	0	10	10000	single	24120	0.023144	0.000000
protein	uniprot	fm-wt	0	10	10000	sort	24120	0.019639	0.000623
protein	uniprot	fm-wt	0	10	10000	dfs	24120	0.018580	0.001044
protein	uniprot	fm-wt	0	10	100000	single	377219	0.216960	0.000000
protein	uniprot	fm-wt	0	10	100000	sort	377219	0.187085	0.008121
protein	uniprot	fm-wt	0	10	100000	dfs	377219	0.174128	0.011650
protein	uniprot	fm-wt	0	10	1000000	single	3650346	2.387593	0.000000
protein	uniprot	fm-wt	0	10	1000000	sort	3650346	1.679043	0.119318
protein	uniprot	fm-wt	0	10	1000000	dfs	3650346	1.494486	0.238175
protein	uniprot	fm-wt	1	20	10000	single	23408	1.319125	0.000000
protein	uniprot	fm-wt	1	20	10000	sort	23408	1.158464	0.000610
protein	uniprot	fm-wt	1	20	10000	single	23408	1.316253	0.000000
protein	uniprot	fm-wt	1	20	10000	sort	23408	1.159688	0.000613
protein	uniprot	fm-wt	1	20	10000	bfs	23408	1.278403	0.001173
protein	uniprot	fm-wt	1	20	100000	single	281093	13.713900	0.000000
protein	uniprot	fm-wt	1	20	100000	sort	281093	11.304087	0.008357
protein	uniprot	fm-wt	1	20	100000	bfs	281093	10.025981	0.002290
protein	uniprot	fm-wt	1	20	1000000	single	3125052	134.177362	0.000000
protein	uniprot	fm-wt	1	20	1000000	sort	3125052	92.159492	0.120056
protein	uniprot	fm-wt	1	20	1000000	bfs	3125052	74.281399	0.032268
protein	uniprot	esa	0	10	10000	single	0	0.000158	0.000000
protein	uniprot	esa	0	10	10000	sort	0	0.000172	0.000619
protein	uniprot	esa	0	10	10000	dfs	0	0.000015	0.001028
protein	uniprot	esa	0	10	100000	single	0	0.001619	0.000000
protein	uniprot	esa	0	10	100000	sort	0	0.002294	0.008077
protein	uniprot	esa	0	10	100000	dfs	0	0.000016	0.011508
protein	uniprot	esa	0	10	1000000	single	0	0.015770	0.000000
protein	uniprot	esa	0	10	1000000	sort	0	0.058292	0.116812
protein	uniprot	esa	0	10	1000000	dfs	0	0.000024	0.234158
protein	uniprot	esa	1	20	10000	dfs	0	0.000202	0.001098
protein	uniprot	esa	1	20	100000	dfs	0	0.000194	0.012240
protein	uniprot	esa	1	20	1000000	dfs	0	0.000194	0.270200
